Place,Month,Time,Humidity,Precipitation,Temperature
Nanded,,01 January 2020,72,8.9 ,24
Nanded,,02 January 2020,73,9.3 ,24
Nanded,,03 January 2020,59,1.6 ,25
Nanded,,04 January 2020,71,0.1 ,23
Nanded,,05 January 2020,60,0.0 ,22
Nanded,,06 January 2020,52,0.0 ,23
Nanded,,07 January 2020,57,0.0 ,26
Nanded,,08 January 2020,64,2.6 ,26
Nanded,,09 January 2020,50,0.0 ,25
Nanded,,10 January 2020,57,0.0 ,22
Nanded,,11 January 2020,43,0.0 ,22
Nanded,,12 January 2020,39,0.0 ,26
Nanded,,13 January 2020,29,0.0 ,27
Nanded,,14 January 2020,33,0.0 ,26
Nanded,,15 January 2020,49,0.0 ,26
Nanded,,16 January 2020,46,0.0 ,25
Nanded,,17 January 2020,46,0.0 ,25
Nanded,,18 January 2020,53,0.0 ,26
Nanded,,19 January 2020,53,0.0 ,26
Nanded,,20 January 2020,49,0.0 ,27
Nanded,,21 January 2020,50,0.0 ,27
Nanded,,22 January 2020,48,0.0 ,27
Nanded,,23 January 2020,43,0.0 ,28
Nanded,,24 January 2020,40,0.0 ,28
Nanded,,25 January 2020,36,0.0 ,29
Nanded,,26 January 2020,32,0.0 ,30
Nanded,,27 January 2020,37,0.0 ,29
Nanded,,28 January 2020,31,0.0 ,28
Nanded,,29 January 2020,44,0.0 ,25
Nanded,,30 January 2020,42,0.0 ,26
Nanded,,31 January 2020,40,0.0 ,26
Nanded,,01 February 2020,42,0.0 ,27
Nanded,,02 February 2020,46,0.0 ,26
Nanded,,03 February 2020,53,0.1 ,27
Nanded,,04 February 2020,43,0.0 ,28
Nanded,,05 February 2020,37,0.0 ,28
Nanded,,06 February 2020,36,0.0 ,29
Nanded,,07 February 2020,28,0.0 ,27
Nanded,,08 February 2020,55,0.0 ,25
Nanded,,09 February 2020,60,1.3 ,24
Nanded,,10 February 2020,58,0.0 ,25
Nanded,,11 February 2020,56,0.1 ,27
Nanded,,12 February 2020,49,0.0 ,28
Nanded,,13 February 2020,33,0.0 ,29
Nanded,,14 February 2020,27,0.0 ,31
Nanded,,15 February 2020,24,0.0 ,32
Nanded,,16 February 2020,23,0.0 ,32
Nanded,,17 February 2020,26,0.0 ,32
Nanded,,18 February 2020,18,0.0 ,30
Nanded,,19 February 2020,17,0.0 ,31
Nanded,,20 February 2020,33,0.0 ,30
Nanded,,21 February 2020,34,0.0 ,30
Nanded,,22 February 2020,29,0.0 ,31
Nanded,,23 February 2020,31,0.0 ,31
Nanded,,24 February 2020,27,0.0 ,31
Nanded,,25 February 2020,20,0.0 ,30
Nanded,,26 February 2020,19,0.0 ,30
Nanded,,27 February 2020,36,0.0 ,31
Nanded,,28 February 2020,33,0.0 ,32
Nanded,,29 February 2020,34,0.0 ,29
Nanded,,01 March 2020,36,0.1 ,29
Nanded,,02 March 2020,29,0.1 ,32
Nanded,,03 March 2020,23,0.0 ,31
Nanded,,04 March 2020,20,0.0 ,29
Nanded,,05 March 2020,22,0.0 ,29
Nanded,,06 March 2020,18,0.0 ,29
Nanded,,07 March 2020,28,0.0 ,28
Nanded,,08 March 2020,30,0.0 ,31
Nanded,,09 March 2020,37,0.0 ,33
Nanded,,10 March 2020,41,0.1 ,32
Nanded,,11 March 2020,40,0.0 ,29
Nanded,,12 March 2020,27,0.0 ,29
Nanded,,13 March 2020,28,0.0 ,32
Nanded,,14 March 2020,21,0.0 ,31
Nanded,,15 March 2020,23,0.0 ,34
Nanded,,16 March 2020,27,0.0 ,33
Nanded,,17 March 2020,29,0.0 ,33
Nanded,,18 March 2020,29,0.3 ,33
Nanded,,19 March 2020,29,1.6 ,34
Nanded,,20 March 2020,14,0.0 ,33
